id,test,model,date,timestamp,agent,component,time
70,2,gpt-5.1,02/03/2026,339.82854747772217,Prediction,6330456,3.79547
70,2,gpt-5.1,02/03/2026,343.6585602760315,Robot,6330456,7.20036
70,2,gpt-5.1,02/03/2026,350.8589186668396,Human,6330456,2.91235
70,2,gpt-5.1,02/03/2026,357.03887367248535,Recognition,6226661,3.64258
70,2,gpt-5.1,02/03/2026,360.6816747188568,Prediction,6226661,2.77851
70,2,gpt-5.1,02/03/2026,363.50175189971924,Robot,6226661,7.79742
70,2,gpt-5.1,02/03/2026,371.29917669296265,Human,6226661,4.76876
72,1,gpt-5.1,02/03/2026,3.2962605953216553,Recognition,6086771,2.49812
72,1,gpt-5.1,02/03/2026,5.794477462768555,Prediction,6086771,1.76456
72,1,gpt-5.1,02/03/2026,7.574321269989014,Robot,6086771,8.33406
72,1,gpt-5.1,02/03/2026,15.9083833694458,Human,6086771,3.57142
72,1,gpt-5.1,02/03/2026,22.784274101257324,Recognition,6330459,4.17653
72,1,gpt-5.1,02/03/2026,26.961140871047974,Prediction,6330459,1.76666
72,1,gpt-5.1,02/03/2026,28.769188404083252,Robot,6330459,7.3955
72,1,gpt-5.1,02/03/2026,36.16468834877014,Human,6330459,11.51385
72,1,gpt-5.1,02/03/2026,50.96652126312256,Recognition,4610745,2.22058
72,1,gpt-5.1,02/03/2026,53.187294721603394,Prediction,4610745,1.72824
72,1,gpt-5.1,02/03/2026,54.93171572685242,Robot,4610745,7.98448
72,1,gpt-5.1,02/03/2026,62.91619372367859,Human,4610745,7.8738
72,1,gpt-5.1,02/03/2026,92.92261695861816,Recognition,6335178,2.03134
72,1,gpt-5.1,02/03/2026,94.95421862602234,Prediction,6335178,2.26853
72,1,gpt-5.1,02/03/2026,97.27844047546387,Robot,6335178,8.03799
72,1,gpt-5.1,02/03/2026,105.31643033027649,Human,6335178,3.70626
72,1,gpt-5.1,02/03/2026,112.30591320991516,Recognition,6335170,2.22291
72,1,gpt-5.1,02/03/2026,114.52918434143066,Prediction,6335170,2.03884
72,1,gpt-5.1,02/03/2026,116.6300880908966,Robot,6335170,8.08651
72,1,gpt-5.1,02/03/2026,124.71660447120667,Human,6335170,5.52923
72,1,gpt-5.1,02/03/2026,133.5252170562744,Recognition,4648231,2.23143
72,1,gpt-5.1,02/03/2026,135.7568325996399,Prediction,4648231,2.01853
72,1,gpt-5.1,02/03/2026,137.81996989250183,Robot,4648231,7.99278
72,1,gpt-5.1,02/03/2026,145.81275701522827,Human,4648231,7.45718
72,1,gpt-5.1,02/03/2026,156.56913208961487,Recognition,4648238,2.30495
72,1,gpt-5.1,02/03/2026,158.87428188323975,Prediction,4648238,2.04922
72,1,gpt-5.1,02/03/2026,160.97055459022522,Robot,4648238,7.88949
72,1,gpt-5.1,02/03/2026,168.86004424095154,Human,4648238,6.13062
72,1,gpt-5.1,02/03/2026,178.28679037094116,Recognition,6192849,2.26682
72,1,gpt-5.1,02/03/2026,180.55381083488464,Prediction,6192849,2.14768
72,1,gpt-5.1,02/03/2026,182.7645447254181,Robot,6192849,9.02436
72,1,gpt-5.1,02/03/2026,191.7889108657837,Human,6192849,4.33727
72,1,gpt-5.1,02/03/2026,211.18019151687622,Recognition,6086771,2.09907
72,1,gpt-5.1,02/03/2026,213.27944564819336,Prediction,6086771,2.57595
72,1,gpt-5.1,02/03/2026,215.91847491264343,Robot,6086771,7.87002
72,1,gpt-5.1,02/03/2026,223.78849983215332,Human,6086771,2.36112
72,1,gpt-5.1,02/03/2026,229.3904092311859,Recognition,6056475,2.171
72,1,gpt-5.1,02/03/2026,231.5617527961731,Prediction,6056475,2.51338
72,1,gpt-5.1,02/03/2026,234.1090211868286,Robot,6056475,7.27152
